ordinal,id,name,start_date,end_date,replaces,replaced_by
0,Q133808,Agustín de Iturbide,1821-09-28,1822-04-11,,Q973289
0,Q973289,Juan O'Donojú,1821-09-28,1821-10-08,Q133808,
0,,,1821-10-08,1822-04-11,,
0,,,1821-09-28,1822-04-11,,Q133808
0,Q133808,Agustín de Iturbide,1822-04-11,1822-05-18,,
0,,,1822-04-11,1822-05-18,,Q379975
0,Q379975,Nicolás Bravo,1822-04-11,1822-05-18,,Q379975
0,Q379975,Nicolás Bravo,1823-03-31,1824-10-10,Q379975,Q311425
0,Q311425,Guadalupe Victoria,1823-03-31,1824-10-10,Q379975,Q1907160
0,Q1907160,Pedro Celestino Negrete,1823-03-31,1824-10-10,Q311425,Q3117383
0,Q3117383,Mariano Michelena,1823-04-01,1824-10-10,Q1907160,Q599373
0,Q599373,Miguel Domínguez,1823-04-01,1824-10-10,Q3117383,Q315618
0,Q315618,Vicente Guerrero,1823-04-01,1824-10-10,Q599373,Q311425
1,Q311425,Guadalupe Victoria,1824-10-10,1829-03-31,Q315618,Q315618
2,Q315618,Vicente Guerrero,1829-04-01,1829-12-17,Q311425,Q1148281
3,Q1148281,José María Bocanegra,1829-12-17,1829-12-23,Q315618,Q772755
0,Q772755,Pedro Vélez,1829-12-23,1829-12-31,Q1148281,Q354678
4,Q354678,Anastasio Bustamante,1830-01-01,1832-08-13,Q772755,Q656792
5,Q656792,Melchor Múzquiz,1832-08-14,1832-12-24,Q354678,Q1075932
6,Q1075932,Manuel Gómez Pedraza,1832-12-24,1833-03-31,Q656792,Q358534
7,Q358534,Valentín Gómez Farías,1833-04-01,1833-05-16,Q1075932,Q189145
8,Q189145,Antonio López de Santa Anna,1833-05-16,1833-06-03,Q358534,Q358534
0,Q358534,Valentín Gómez Farías,1833-06-03,1833-06-18,Q189145,Q189145
0,Q189145,Antonio López de Santa Anna,1833-06-18,1833-07-05,Q358534,Q358534
0,Q358534,Valentín Gómez Farías,1833-07-05,1833-10-27,Q189145,Q189145
0,Q189145,Antonio López de Santa Anna,1833-10-27,1833-12-15,Q358534,Q358534
0,Q358534,Valentín Gómez Farías,1833-12-16,1834-04-24,Q189145,Q189145
0,Q189145,Antonio López de Santa Anna,1834-04-24,1835-01-27,Q358534,Q1208732
9,Q1208732,Miguel Barragán,1835-01-28,1836-02-27,Q189145,Q1208264
10,Q1208264,José Justo Corro,1836-02-27,1837-04-19,Q1208732,Q354678
0,Q354678,Anastasio Bustamante,1837-04-19,1839-03-18,Q1208264,Q189145
0,Q189145,Antonio López de Santa Anna,1839-03-18,1839-07-10,Q354678,Q379975
11,Q379975,Nicolás Bravo,1839-07-11,1839-07-19,Q189145,Q354678
0,Q354678,Anastasio Bustamante,1839-07-19,1841-09-22,Q379975,Q684616
12,Q684616,Francisco Javier Echeverría,1841-09-22,1841-10-10,Q354678,Q189145
0,Q189145,Antonio López de Santa Anna,1841-10-10,1842-10-26,Q684616,Q379975
0,Q379975,Nicolás Bravo,1842-10-26,1843-03-04,Q189145,Q189145
0,Q189145,Antonio López de Santa Anna,1843-03-04,1843-10-04,Q379975,Q667722
13,Q667722,Valentín Canalizo,1843-10-04,1844-06-04,Q189145,Q189145
0,Q189145,Antonio López de Santa Anna,1844-06-04,1844-09-12,Q667722,Q373622
14,Q373622,José Joaquín de Herrera,1844-09-12,1844-09-21,Q189145,Q667722
0,Q667722,Valentín Canalizo,1844-09-21,1844-12-06,Q373622,Q373622
0,Q373622,José Joaquín de Herrera,1844-12-06,1845-12-30,Q667722,Q440461
15,Q440461,Mariano Paredes (President of Mexico),1845-12-31,1846-07-28,Q373622,Q379975
0,Q379975,Nicolás Bravo,1846-07-28,1846-08-04,Q440461,Q1837971
